"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0045071","GO:0045071","negative regulation of viral genome replication",55,0.843866413575019,2.04110031036165,1e-10,1.59933333333333e-07,1.51789473684211e-07,424,"tags=49%, list=3%, signal=48%","58185/100038882/20304/57444/231655/71586/236312/102639543/23962/623121/246727/98999/100040462/19106/100033459/226691/545384/20568/69550/246728/246730/23960/66141/15950/78781/80287/17002"
"GO:0051607","GO:0051607","defense response to virus",282,0.663614269260808,1.93414132706605,1e-10,1.59933333333333e-07,1.51789473684211e-07,946,"tags=30%, list=6%, signal=29%","58185/100038882/20304/15958/15945/17329/15959/15957/14469/54123/57444/231655/667373/71586/667370/58203/24110/236312/229898/102639543/23962/623121/276950/237886/107569/246727/434219/67775/20847/98999/14190/16145/100040462/19106/21939/20128/100033459/56045/80861/226691/244183/17472/18854/545384/17874/16168/16365/80285/69550/74568/246728/246730/23960/54396/12362/66141/434341/28185/15950/234311/16362/94094/78781/80287/66824/76681/16160/217069/214763/20846/319236/338467/384309/13204/78416/17454/27056/22670/56200/11810/213002/56208/16363/16193/66878/66700"
"GO:0009615","GO:0009615","response to virus",351,0.637129620872318,1.87501065645031,1e-10,1.59933333333333e-07,1.51789473684211e-07,1777,"tags=34%, list=11%, signal=31%","58185/100038882/20304/15958/15945/17329/15959/15957/14469/54123/57444/231655/667373/71586/667370/58203/24110/236312/229898/102639543/23962/623121/276950/237886/107569/246727/434219/67775/20847/98999/14190/16145/100040462/19106/21939/20128/100033459/56045/76933/80861/226691/244183/17472/18854/545384/17874/16168/16365/64685/80285/69550/74568/246728/246730/23960/54396/12362/66141/434341/28185/15950/234311/16362/94094/78781/381319/80287/66824/76681/16160/217069/67963/214763/20846/319236/338467/384309/13204/21803/78416/56048/17454/27056/22670/56200/12571/11810/98053/213002/18033/56208/16363/16193/66878/66700/12028/279572/109075/12524/56489/15251/16172/19166/246779/170743/16411/56480/70450/15980/215210/81897/56532/12051/67070/229900/12913/14265/94091/332579/20821/69192"
"GO:0048525","GO:0048525","negative regulation of viral process",76,0.779584622833439,1.98097332175701,4.92058270752896e-10,5.90223895768098e-07,5.60169494546586e-07,1849,"tags=54%, list=11%, signal=48%","58185/100038882/20304/57444/231655/71586/236312/102639543/23962/623121/246727/98999/20684/100040462/19106/100033459/226691/545384/20568/69550/246728/246730/23960/66141/15950/78781/80287/20846/17002/13001/213002/235047/75339/22221/74735/12642/218850/28036/94091/20821/84505"
"GO:0140241","GO:0140241","translation at synapse",48,-0.862333153333874,-2.24039058133237,9.91907533877274e-10,7.93195391257193e-07,7.52805612553173e-07,1291,"tags=81%, list=8%, signal=75%","319195/268449/19944/78294/20088/26451/269261/66480/20055/20044/19989/67097/68436/19951/22121/19941/27176/13629/67891/67186/27207/20042/267019/19896/19988/65019/19943/54217/67281/19981/27370/57808/67115/67671/54127/57294/19934/66489/19982"
"GO:0140242","GO:0140242","translation at postsynapse",48,-0.862333153333874,-2.24039058133237,9.91907533877274e-10,7.93195391257193e-07,7.52805612553173e-07,1291,"tags=81%, list=8%, signal=75%","319195/268449/19944/78294/20088/26451/269261/66480/20055/20044/19989/67097/68436/19951/22121/19941/27176/13629/67891/67186/27207/20042/267019/19896/19988/65019/19943/54217/67281/19981/27370/57808/67115/67671/54127/57294/19934/66489/19982"
"GO:0035456","GO:0035456","response to interferon-beta",69,0.784209929034975,1.96089997921009,1.39706857192098e-09,9.57590715439551e-07,9.08829870997016e-07,885,"tags=51%, list=5%, signal=48%","15959/15957/226695/14469/236312/102639543/15953/381308/623121/15951/55932/60440/327959/16145/100040462/100033459/226691/545384/16365/432555/69550/246730/23960/54396/66141/15950/16362/100702/20846/71701/100039796/216150/213002/620913/12334"
"GO:0140236","GO:0140236","translation at presynapse",47,-0.860989565440474,-2.22837428948518,2.13409570899088e-09,1.27992390146728e-06,1.21474974172297e-06,1291,"tags=83%, list=8%, signal=77%","100503670/319195/268449/19944/78294/20088/26451/269261/66480/20055/20044/19989/67097/68436/19951/22121/19941/27176/67891/67186/27207/20042/267019/19896/19988/65019/19943/54217/67281/19981/27370/57808/67115/67671/54127/57294/19934/66489/19982"
"GO:0035458","GO:0035458","cellular response to interferon-beta",61,0.789744819287326,1.9445209429891,1.80340454904276e-08,9.61415002923016e-06,9.12459424463037e-06,885,"tags=51%, list=5%, signal=48%","15959/15957/226695/14469/236312/102639543/15953/381308/623121/15951/55932/60440/16145/100040462/100033459/226691/545384/16365/432555/246730/23960/54396/15950/16362/100702/20846/71701/100039796/216150/620913/12334"
"GO:1903900","GO:1903900","regulation of viral life cycle",120,0.684541938326099,1.84053929906519,2.50065575695651e-08,1.19981463218774e-05,1.13871966364146e-05,1849,"tags=42%, list=11%, signal=37%","58185/100038882/20304/57444/231655/71586/236312/102639543/23962/623121/246727/434219/98999/100040462/19106/20128/100033459/226691/244183/545384/20568/69550/246728/246730/23960/66141/15950/330192/78781/80287/76681/217069/319236/17002/73158/13001/20853/213002/235047/75339/67846/214523/12642/218850/16650/229900/14265/94091/20821/84505"
