"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","category"
"Rsad2",3.10973339938776e-39,4.50790436948012,1,0.75,7.8144490593215e-35,"Rsad2","Upregulated"
"AA467197",2.80719266355549e-36,3.21573477281369,1,0.75,7.0541944442486e-32,"AA467197","Upregulated"
"Ifit1",3.72230603878085e-35,3.47380131579725,1,0.75,9.35378284485239e-31,"Ifit1","Upregulated"
"Cfb",7.55738287851699e-35,3.07505988904832,1,0.75,1.89909474354253e-30,"Cfb","Upregulated"
"Ifit1bl1",7.97647766946462e-34,2.90407340601778,1,0.75,2.00440907355976e-29,"Ifit1bl1","Upregulated"
"Ifi205",8.02418746597269e-34,3.25973049691492,1,0.75,2.01639806832428e-29,"Ifi205","Upregulated"
"Slfn4",1.19547534050513e-33,3.01371596131102,1,0.75,3.00410998315533e-29,"Slfn4","Upregulated"
"Gbp2",1.29355517081647e-32,3.15367048357952,1,0.75,3.25057478874471e-28,"Gbp2","Upregulated"
"Ifit2",2.1911832638756e-32,3.68320392235591,1,0.75,5.506224423793e-28,"Ifit2","Upregulated"
"Isg20",1.51920748509818e-30,3.00323696059786,1,0.75,3.81761648930322e-26,"Isg20","Upregulated"
"Oasl1",8.14362965069204e-29,2.90873008956131,1,0.75,2.0464126949224e-24,"Oasl1","Upregulated"
"Ifit3b",1.15094961463944e-28,2.73284621013343,1,0.75,2.89222128662746e-24,"Ifit3b","Upregulated"
"Ifit3",3.85655302586181e-28,3.54639805691766,1,0.75,9.69113209868815e-24,"Ifit3","Upregulated"
"Cmpk2",4.63731399197162e-26,2.62912910437091,1,0.75,1.16531063304255e-21,"Cmpk2","Upregulated"
"Isg15",5.23855123213901e-25,4.10835659711398,1,0.75,1.31639553912421e-20,"Isg15","Upregulated"
"Ass1",2.74620767267933e-21,2.37664382932178,1,0.75,6.90094526067589e-17,"Ass1","Upregulated"
"AW011738",6.25842886160815e-21,2.0917459827167,1,0.75,1.57268058863351e-16,"AW011738","Upregulated"
"Il1rn",9.85527620629382e-21,2.45235659894512,1,0.75,2.47653235787957e-16,"Il1rn","Upregulated"
"Ly6c2",1.12103393281225e-20,3.83473341379932,1,0.75,2.81704616976391e-16,"Ly6c2","Upregulated"
"Phf11d",1.14718797670491e-20,2.7704951810324,1,0.75,2.88276866666178e-16,"Phf11d","Upregulated"
"Irf7",1.30179114767841e-20,3.15007648487227,1,0.75,3.27127097500109e-16,"Irf7","Upregulated"
"Usp18",2.26641019627862e-20,2.6533771842402,1,0.75,5.69526218222854e-16,"Usp18","Upregulated"
"Cxcl10",6.42183674541101e-20,3.66227251168744,1,0.75,1.61374335575433e-15,"Cxcl10","Upregulated"
"H2-Q7",1.00669055801228e-19,2.81272654854669,1,0.75,2.52971270322906e-15,"H2-Q7","Upregulated"
"Zbp1",7.02322722929913e-19,2.72814806235565,1,0.75,1.76486677045058e-14,"Zbp1","Upregulated"
"Ifih1",9.60317367029095e-19,2.80429459342661,1,0.75,2.41318151160741e-14,"Ifih1","Upregulated"
"Slfn1",5.14991529464219e-18,2.74815948291461,1,0.75,1.29412221439064e-13,"Slfn1","Upregulated"
"Ms4a4c",7.4990305938171e-18,3.0214437352653,1,0.75,1.8844313979203e-13,"Ms4a4c","Upregulated"
"Ifi47",6.48037964482148e-17,2.44763150363979,1,0.75,1.62845460094719e-12,"Ifi47","Upregulated"
"Serpina3g",2.33075635587122e-16,2.86533766041974,1,0.75,5.85695764666879e-12,"Serpina3g","Upregulated"
"Ifi211",4.14168605729216e-16,2.42386940884202,1,0.75,1.04076428933695e-11,"Ifi211","Upregulated"
"Calhm6",5.79344520812332e-16,2.3366935150685,1,0.75,1.45583484634931e-11,"Calhm6","Upregulated"
"Daxx",6.5383982031073e-16,2.35686265009618,1,0.75,1.64303408445883e-11,"Daxx","Upregulated"
"Ifi209",1.02790578030621e-15,2.64274938162665,1,0.75,2.58302443533147e-11,"Ifi209","Upregulated"
"Ifi213",1.63531647242674e-15,2.26235280241453,1,0.75,4.10938676356115e-11,"Ifi213","Upregulated"
"Phf11b",1.80043131717709e-15,2.46574212098153,1,0.75,4.52430385693431e-11,"Phf11b","Upregulated"
"Trim30c",2.35750593109341e-15,2.09681938653639,1,0.75,5.92417665424464e-11,"Trim30c","Upregulated"
"Oas3",3.17158438396482e-15,2.11987846290869,1,0.75,7.96987439846519e-11,"Oas3","Upregulated"
"Ly6i",4.95080173579128e-15,2.09808920831673,1,0.75,1.24408696818699e-10,"Ly6i","Upregulated"
"Phf11a",8.80039631457113e-15,1.97101699425757,1,0.75,2.21145158988858e-10,"Phf11a","Upregulated"
"Cd40",3.62033589383147e-14,1.82530481445096,1,0.75,9.09754206760909e-10,"Cd40","Upregulated"
"Herc6",9.10034970469725e-14,2.36604707182332,1,0.75,2.28682687729337e-09,"Herc6","Upregulated"
"Ifi208",1.81704206756488e-13,1.78938498138159,1,0.75,4.56604501158378e-09,"Ifi208","Upregulated"
"Igtp",2.70650777747129e-13,1.91698879692743,1,0.75,6.8011833940076e-09,"Igtp","Upregulated"
"Nt5c3",9.67669753694866e-13,2.13214035036342,1,0.75,2.43165732405983e-08,"Nt5c3","Upregulated"
"Parp14",1.01151886193343e-12,0.989923062591104,1,1,2.54184574815251e-08,"Parp14","Upregulated"
"Klrk1",1.09730938526619e-12,1.95752456865024,1,0.75,2.7574287542354e-08,"Klrk1","Upregulated"
"Oasl2",1.27095799959156e-12,2.334717547135,1,0.75,3.19379035717363e-08,"Oasl2","Upregulated"
"Iigp1",1.28699519563204e-12,2.00354876135803,1,0.75,3.23409022710376e-08,"Iigp1","Upregulated"
"Stat1",1.36624586252706e-12,1.06950028102116,1,1,3.43323922794426e-08,"Stat1","Upregulated"
"Slfn9",2.62226147088542e-12,2.15386214084286,1,0.75,6.58948085018796e-08,"Slfn9","Upregulated"
"Slfn8",2.93880908922123e-12,2.19037826074104,1,0.75,7.38493336030403e-08,"Slfn8","Upregulated"
"Stat2",7.56681021052476e-12,1.97913196715109,1,0.75,1.90146373780277e-07,"Stat2","Upregulated"
"Socs1",1.48212300247112e-11,1.75103015377457,1,0.75,3.72442689290966e-07,"Socs1","Upregulated"
"Acod1",1.86287585272236e-11,1.43357493452551,0.75,0.75,4.68122073030602e-07,"Acod1","Upregulated"
"Xaf1",3.89060458014371e-11,2.00184329412374,1,0.75,9.77670024944313e-07,"Xaf1","Upregulated"
"Ube2l6",4.66042486178018e-11,1.66680069286153,1,0.75,1.17111816351674e-06,"Ube2l6","Upregulated"
"Sct",4.68886667907321e-11,1.30277196747823,0.75,0,1.17826530778431e-06,"Sct","Upregulated"
"Slfn5",5.26370231183324e-11,1.70326398924654,1,1,1.32271575394058e-06,"Slfn5","Upregulated"
"Sp140",6.9830099172463e-11,2.17408816040112,1,0.75,1.75476056210482e-06,"Sp140","Upregulated"
"Gbp4",9.3767087062597e-11,1.47903275623883,1,0.75,2.356273130796e-06,"Gbp4","Upregulated"
"Mxd1",1.14654346554786e-10,2.21661298913195,1,0.75,2.88114907457523e-06,"Mxd1","Upregulated"
"Sell",1.51734433734238e-10,2.13848327352512,1,0.75,3.81293458530767e-06,"Sell","Upregulated"
"H2-T22",1.54749864466786e-10,1.93128308980374,1,0.75,3.88870934418586e-06,"H2-T22","Upregulated"
"H2-Q4",1.68124929981348e-10,1.77165659385204,1,0.75,4.2248113655013e-06,"H2-Q4","Upregulated"
"Znfx1",1.73620508776367e-10,1.97369480403906,1,0.75,4.36290976504132e-06,"Znfx1","Upregulated"
"Irgm1",1.90583489449512e-10,0.309793074132884,1,1,4.7891725063768e-06,"Irgm1","Not Significant"
"Ifi204",2.00007550561091e-10,2.24654349772387,1,0.75,5.02598973804967e-06,"Ifi204","Upregulated"
"Anxa4",2.11393787320279e-10,1.69869496330953,1,0.75,5.31211448157129e-06,"Anxa4","Upregulated"
"Rnf213",2.24163546609772e-10,0.62815344160942,1,1,5.63300576275697e-06,"Rnf213","Upregulated"
"Sp110",3.32977499118051e-10,1.9192620209701,1,0.75,8.36739157533751e-06,"Sp110","Upregulated"
"Rtp4",3.36966540654694e-10,2.03900704674785,1,0.75,8.46763220011181e-06,"Rtp4","Upregulated"
"Slamf8",3.83590399623355e-10,1.6285318352236,1,0.75,9.63924315213529e-06,"Slamf8","Upregulated"
"Ms4a6d",4.16778449613124e-10,0.890878195518774,1,1,1.04732256603282e-05,"Ms4a6d","Upregulated"
"Gbp7",6.1097169491825e-10,0.565306255246195,1,1,1.53531077216007e-05,"Gbp7","Upregulated"
"Gbp3",7.23536502584822e-10,2.05888898168287,1,0.75,1.8181748773454e-05,"Gbp3","Upregulated"
"Stoml3",8.6676002199415e-10,-1.68228112256161,1,1,2.1780812592691e-05,"Stoml3","Downregulated"
"Tor3a",8.9696113387176e-10,1.90068243438791,1,0.75,2.25397363330634e-05,"Tor3a","Upregulated"
"Ppa1",1.70562074786662e-09,1.39746009658583,1,0.75,4.28605437731404e-05,"Ppa1","Upregulated"
"Atp1b1",2.31179665521395e-09,-1.7042985696269,1,1,5.80931381488713e-05,"Atp1b1","Downregulated"
"Cd69",2.50120736417992e-09,1.9849570384305,1,0.75,6.28528398544771e-05,"Cd69","Upregulated"
"Tap1",2.67650321201374e-09,1.80780600932165,1,0.75,6.72578492146934e-05,"Tap1","Upregulated"
"Fgl2",3.33028012054256e-09,1.92236112987638,1,0.75,8.3686609149114e-05,"Fgl2","Upregulated"
"Ddx58",3.64006434547619e-09,0.334233402707336,1,1,9.14711769374712e-05,"Ddx58","Not Significant"
"Samd9l",3.72305222028043e-09,1.91010483265195,1,0.75,9.3556579243427e-05,"Samd9l","Upregulated"
"Gm5431",3.82831091980069e-09,1.37573043680179,1,0.75,9.62016251036716e-05,"Gm5431","Upregulated"
"Ifi214",4.22154801344247e-09,1.47385604310266,1,0.75,0.000106083280029796,"Ifi214","Upregulated"
"Gbp9",4.3629220883967e-09,1.79329721066404,1,0.75,0.000109635869159321,"Gbp9","Upregulated"
"Fam241a",4.69428963538506e-09,1.62762082646286,1,0.75,0.000117962804247591,"Fam241a","Upregulated"
"Psmb10",4.91176184731099e-09,1.92529241631498,1,0.75,0.000123427663461078,"Psmb10","Upregulated"
"Map1b",5.03221147442486e-09,-1.67428322335884,1,1,0.000126454442140822,"Map1b","Downregulated"
"Dhx58",5.04077307335429e-09,1.59318694343579,1,0.75,0.00012666958656032,"Dhx58","Upregulated"
"Ifi203",6.99633852804644e-09,1.22709059195997,1,1,0.000175810990871279,"Ifi203","Upregulated"
"Ifi35",9.20850103475875e-09,1.71788398526179,1,0.75,0.000231400422502453,"Ifi35","Upregulated"
"BC147527",1.27059388604216e-08,1.4352383840154,1,0.75,0.000319287537623536,"BC147527","Upregulated"
"Trim30b",1.37167829959548e-08,1.55215152073436,1,0.75,0.000344689039905348,"Trim30b","Upregulated"
"Gch1",1.42779341251561e-08,1.70476628893363,1,0.75,0.000358790206631047,"Gch1","Upregulated"
"1600014C10Rik",1.7076992707462e-08,1.616223405757,1,0.75,0.000429127749745813,"1600014C10Rik","Upregulated"
"Spon1",1.76810254785516e-08,1.34406318371616,0.75,0.75,0.000444306489250522,"Spon1","Upregulated"
"Gnal",1.85557637542205e-08,-1.67745745739833,1,1,0.000466287787379806,"Gnal","Downregulated"
"Mndal",2.48955406784472e-08,1.90734778618865,1,0.75,0.0006256000417087,"Mndal","Upregulated"
"Gng13",2.90662837991882e-08,-1.61301556126801,1,1,0.000730406645589799,"Gng13","Downregulated"
"Parp12",3.27811898519563e-08,1.51806110082616,1,0.75,0.000823758519789811,"Parp12","Upregulated"
"Lgals9",3.61606512276407e-08,0.475765158248608,1,1,0.000908681004699384,"Lgals9","Not Significant"
"Themis2",4.10695122460184e-08,1.69523558662757,1,0.75,0.0010320357732302,"Themis2","Upregulated"
